Ids,dx_avg,dy_avg,dx_inv,dy_inv
3,0.509389953,0.998399512,1.963132555,1.001603054
10,10.62466436,4.678861963,0.09412062,0.213727186
11,0.142068464,0.617441516,7.038859799,1.619586591
12,3.402827442,9.671997507,0.293873262,0.103391259
14,4.071513498,8.042688777,0.245608912,0.124336528
15,13.90055586,6.493216252,0.071939569,0.154006884
16,2.001908186,4.257183217,0.499523408,0.234897102
17,8.951696233,7.887950304,0.111710672,0.126775647
18,14.07352657,18.51710524,0.071055396,0.054004121
19,14.57217459,6.444532845,0.068623938,0.155170285
20,2.439799094,5.135596108,0.409869814,0.194719362
21,15.43738938,8.3420537,0.064777792,0.119874558
22,18.63822919,8.746020317,0.053653166,0.114337717
23,7.018442058,9.2128551,0.142481763,0.108543984
24,15.96937983,6.21024133,0.062619839,0.161024338
29,20.8451454,9.903136376,0.0479728,0.100978111
33,15.9417509,6.041559414,0.062728367,0.16552018
35,3.293664915,5.015674962,0.303613156,0.199374961
37,23.86171028,12.00662951,0.041908144,0.08328732
38,3.014916339,7.688489531,0.331684162,0.130064559
41,10.29543598,3.825567376,0.097130418,0.261399134
