Ids,X,Y
1,728.82421875,425.894287109375
2,375.5740966796875,571.7327880859375
3,610.602783203125,424.57562255859375
4,203.83273315429688,260.34063720703125
1,730.27978515625,427.32611083984375
2,374.44195556640625,569.4891967773438
3,612.5491943359375,426.10528564453125
4,203.15255737304688,259.6175842285156
1,732.1177368164062,428.9017333984375
2,372.57208251953125,566.5355224609375
3,614.8604736328125,427.9244079589844
4,202.47265625,259.0140686035156
1,736.22314453125,430.7050476074219
2,370.7544860839844,562.0765991210938
3,619.1669921875,430.99932861328125
4,201.41119384765625,257.8258056640625
1,738.6494140625,432.0889892578125
2,369.2998046875,559.907958984375
3,622.1043701171875,433.8076171875
4,200.2455596923828,256.9385070800781
1,741.009521484375,433.34552001953125
2,368.46038818359375,557.6094970703125
3,624.9254150390625,435.5997009277344
4,199.69815063476562,256.14788818359375
5,1105.1011962890625,726.7554931640625
1,743.0343627929688,434.66485595703125
2,367.73809814453125,555.2918701171875
3,627.3883056640625,437.1203308105469
4,199.14772033691406,255.51171875
5,1112.843505859375,731.8223876953125
1,745.479248046875,436.2127685546875
2,366.9224853515625,554.6500854492188
3,630.173828125,439.4003601074219
4,198.20172119140625,255.32020568847656
5,1121.59765625,738.6206665039062
1,749.400390625,438.0250244140625
2,365.441162109375,551.8062744140625
3,636.4089965820312,442.77203369140625
4,196.99742126464844,254.35137939453125
5,1136.567626953125,749.2572631835938
1,752.3590087890625,439.6689758300781
2,364.39642333984375,549.2499389648438
3,639.75732421875,445.1816711425781
4,195.91134643554688,253.56375122070312
5,1147.822265625,757.3402099609375
1,754.833984375,441.19610595703125
2,363.52410888671875,546.8623046875
3,643.5162353515625,447.2300720214844
4,195.12142944335938,252.72500610351562
5,1157.21533203125,763.3194580078125
1,756.6646728515625,442.54876708984375
2,362.631591796875,545.1123046875
3,647.5385131835938,449.4166259765625
4,194.64370727539062,252.2139892578125
5,1166.380859375,769.324462890625
1,758.4241943359375,443.8482666015625
2,362.17559814453125,543.4308471679688
3,650.4339599609375,450.76849365234375
4,193.93544006347656,251.57562255859375
5,1173.643798828125,773.910400390625
1,762.5152587890625,446.3233947753906
2,360.60711669921875,540.0912475585938
3,653.5948486328125,454.239990234375
4,193.41592407226562,250.57496643066406
5,1190.279296875,789.2208251953125
1,765.302978515625,447.95269775390625
2,360.31280517578125,537.392333984375
3,656.6751708984375,456.80908203125
4,192.6959686279297,250.28988647460938
